file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\syuuj\gitProject\redisson\redisson-hibernate\redisson-hibernate-6\src\main\java\org\redisson\hibernate\RedissonRegionFactory.java,org.redisson.hibernate.RedissonRegionFactory,class,21,22,1,21,29,2,0,41,61,0.92,0.33333334,0.42424244,15,0,4,3,8,0,12,0,0,0,15,12,11,2,1,1,12,0,3,136,17,0,4,5,3,28,2,33,4,25,3,0,0,0,129,1,0
C:\Users\syuuj\gitProject\redisson\redisson-hibernate\redisson-hibernate-6\src\main\java\org\redisson\hibernate\RedissonStorage.java,org.redisson.hibernate.RedissonStorage,class,8,10,2,8,33,1,0,22,0,0.5277778,1.0,1.0,9,0,7,2,0,0,7,0,0,0,8,1,0,3,0,5,3,0,4,148,16,0,8,6,0,1,3,16,2,18,3,0,0,2,55,1,5
C:\Users\syuuj\gitProject\redisson\redisson-hibernate\redisson-hibernate-7\src\main\java\org\redisson\hibernate\RedissonStorage.java,org.redisson.hibernate.RedissonStorage,class,8,10,2,8,33,1,0,22,0,0.5277778,1.0,1.0,9,0,7,2,0,0,7,0,0,0,8,1,0,3,0,5,3,0,4,148,16,0,8,6,0,1,3,16,2,18,3,0,0,2,55,1,5
C:\Users\syuuj\gitProject\redisson\redisson-hibernate\redisson-hibernate-53\src\main\java\org\redisson\hibernate\RedissonStorage.java,org.redisson.hibernate.RedissonStorage,class,8,10,2,8,33,1,0,22,0,0.5277778,1.0,1.0,9,0,7,2,0,0,7,0,0,0,8,1,0,3,0,5,3,0,4,148,16,0,8,6,0,1,3,16,2,18,3,0,0,2,55,1,5
C:\Users\syuuj\gitProject\redisson\redisson-hibernate\redisson-hibernate-7\src\main\java\org\redisson\hibernate\RedissonRegionFactory.java,org.redisson.hibernate.RedissonRegionFactory,class,21,22,1,21,29,2,0,41,61,0.92,0.33333334,0.42424244,15,0,4,3,8,0,12,0,0,0,15,12,11,2,1,1,12,0,3,136,17,0,4,5,3,28,2,33,4,25,3,0,0,0,129,1,0
C:\Users\syuuj\gitProject\redisson\redisson-hibernate\redisson-hibernate-53\src\main\java\org\redisson\hibernate\RedissonRegionFactory.java,org.redisson.hibernate.RedissonRegionFactory,class,20,22,1,21,29,2,0,41,61,0.92,0.33333334,0.42424244,15,0,4,3,8,0,12,0,0,0,15,12,11,2,1,1,12,0,3,136,17,0,4,5,3,28,2,33,4,25,3,0,0,0,126,1,0
